Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
147,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
147,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
148,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
148,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
149,First by Graaskamp: 0.05,Random: 0.5,530,325,2.65,"[1, 0, 0]"
149,Random: 0.5,First by Graaskamp: 0.05,205,-325,1.025,"[1, 0, 0]"
150,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
150,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
151,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
151,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
152,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
152,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
153,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
153,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
154,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
154,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
155,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
155,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
156,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
156,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
157,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
157,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
158,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
158,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
159,Tit For Tat,First by Graaskamp: 0.05,525,0,2.625,"[0, 0, 1]"
159,First by Graaskamp: 0.05,Tit For Tat,525,0,2.625,"[0, 0, 1]"
160,First by Downing,First by Joss: 0.9,555,-70,2.775,"[0, 1, 0]"
160,First by Joss: 0.9,First by Downing,625,70,3.125,"[0, 1, 0]"
161,First by Downing,First by Joss: 0.9,555,-70,2.775,"[0, 1, 0]"
