Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
111,First by Joss: 0.9,First by Tullock,241,5,1.193069306930693,"[1, 0, 0]"
111,First by Tullock,First by Joss: 0.9,236,-5,1.1683168316831682,"[1, 0, 0]"
112,First by Joss: 0.9,First by Anonymous,543,85,2.4908256880733943,"[1, 0, 0]"
112,First by Anonymous,First by Joss: 0.9,458,-85,2.1009174311926606,"[1, 0, 0]"
113,First by Joss: 0.9,Random: 0.5,408,35,2.205405405405405,"[1, 0, 0]"
113,Random: 0.5,First by Joss: 0.9,373,-35,2.016216216216216,"[1, 0, 0]"
114,First by Tullock,First by Tullock,381,15,1.7638888888888888,"[1, 0, 0]"
114,First by Tullock,First by Tullock,366,-15,1.6944444444444444,"[1, 0, 0]"
115,First by Tullock,First by Anonymous,438,35,2.4198895027624308,"[1, 0, 0]"
115,First by Anonymous,First by Tullock,403,-35,2.226519337016575,"[1, 0, 0]"
116,First by Tullock,Random: 0.5,479,20,2.197247706422018,"[1, 0, 0]"
116,Random: 0.5,First by Tullock,459,-20,2.1055045871559632,"[1, 0, 0]"
117,First by Anonymous,First by Anonymous,498,70,2.41747572815534,"[1, 0, 0]"
117,First by Anonymous,First by Anonymous,428,-70,2.0776699029126213,"[1, 0, 0]"
118,First by Anonymous,Random: 0.5,458,-20,2.191387559808613,"[0, 1, 0]"
118,Random: 0.5,First by Anonymous,478,20,2.287081339712919,"[0, 1, 0]"
119,Random: 0.5,Random: 0.5,458,50,2.3854166666666665,"[1, 0, 0]"
119,Random: 0.5,Random: 0.5,408,-50,2.125,"[1, 0, 0]"
